ARO_accession,ARO_name,ARO_description,"AMR Gene Family","Drug Class","Antibiotic class","Resistance Mechanism",Total_reads,Gene_Count
ARO:3004361,sul4,"sul4 is a dihydropteroate synthase gene and mobile sulfonamide resistance gene shown to confer resistance when expressed in E. coli.","sulfonamide resistant sul","sulfonamide antibiotic",Sulfonamide,"antibiotic target replacement",428666,3193
ARO:3004379,QepA4,"A plasmid-mediated quinolone efflux pump variant described in Escherichia coli. QepA4 confers resistance to quinolone and fluoroquinolone antibiotics by expulsion from the cell. Described by Manageiro et al. 2017.","major facilitator superfamily (MFS) antibiotic efflux pump","fluoroquinolone antibiotic",Fluoroquinolone,"antibiotic efflux",14854,102
ARO:3004441,tet(59),"Tet(59) is a chromosome-encoded tetracycline efflux pump described from a Chinese pig manure sample.","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic",Tetracycline,"antibiotic efflux",428,2
ARO:3004442,tet(W/N/W),"tet(W/N/W) is a mosaic tetracycline resistance gene and ribosomal protection protein.","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic",Tetracycline,"antibiotic target protection",289858,296
ARO:3004444,RSA-1,"RSA-1 is a class A beta-lactamase resistance enzyme identified from a functional metagenomic study of contaminated river sediments.","RSA beta-lactamase",carbapenem;cephalosporin,Beta-lactam,"antibiotic inactivation",1582,8
ARO:3004450,TRU-1,"A class C beta-lactamase enzyme identified from Aeromonas enteropelogenes. TRU-1 confers resistance to penicillin and cephalosporin antibiotics.","TRU beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",9458,25
ARO:3004451,"Agrobacterium fabrum chloramphenicol acetyltransferase","A chloramphenicol resistance determinant described in the Gram-negative bacterium Agrobacterium fabrum.","chloramphenicol acetyltransferase (CAT)","phenicol antibiotic",Phenicol,"antibiotic inactivation",219174,1740
ARO:3004454,"Campylobacter coli chloramphenicol acetyltransferase","A chloramphenicol resistance determinant described in Campylobacter coli.","chloramphenicol acetyltransferase (CAT)","phenicol antibiotic",Phenicol,"antibiotic inactivation",24106,95
ARO:3004455,"Streptococcus suis chloramphenicol acetyltransferase","A chloramphenicol resistance determinant described in Streptococcus suis.","chloramphenicol acetyltransferase (CAT)","phenicol antibiotic",Phenicol,"antibiotic inactivation",1450,6
ARO:3004456,"Enterococcus faecium chloramphenicol acetyltransferase","A chloramphenicol resistance determinant described in an Enterococcus faecium plasmid","chloramphenicol acetyltransferase (CAT)","phenicol antibiotic",Phenicol,"antibiotic inactivation",612,6
ARO:3004457,"Staphylococcus intermedius chloramphenicol acetyltransferase","A chloramphenicol resistance determinant described in Staphylococcus intermedius","chloramphenicol acetyltransferase (CAT)","phenicol antibiotic",Phenicol,"antibiotic inactivation",488,9
ARO:3004460,"Vibrio anguillarum chloramphenicol acetyltransferase","A chloramphenicol resistance determinant described in a Vibrio anguillarum plasmid sequence","chloramphenicol acetyltransferase (CAT)","phenicol antibiotic",Phenicol,"antibiotic inactivation",2332,26
ARO:3004463,EBR-2,"EBR-2 is a novel EBR-like class B beta-lactamase isolated from an extensively drug-resistant strain of Empedobacter falsenii","EBR beta-lactamase",carbapenem;cephalosporin;penam,Beta-lactam,"antibiotic inactivation",2,1
ARO:3004464,CFE-2,"CFE-2 is a plasmid-encoded AmpC beta-lactamase first described from Citrobacter freundii by Chen et al. 2018.","CMY beta-lactamase",cephamycin,Beta-lactam,"antibiotic inactivation",466,1
ARO:3004466,ICR-Mc,"A chromosomally-encoded colistin resistance phosphoethanolamine (PEtN) transferase of Moraxella catarrhalis. ICR-Mc is the protein that represents the closest known ortholog to the colistin resistance MCR-1 and MCR-2 PEtN transferases.","intrinsic colistin resistant phosphoethanolamine transferase","peptide antibiotic",Peptide,"antibiotic target alteration",3268,16
ARO:3004470,poxtA,"PoxtA is an ABC-F subfamily ATP-binding cassette protein that confers resistance to tetracycline, -phenicol, and oxazolidinone via modification of the bacterial ribosome. The encoding gene was isolated from a methicillin-resistant Staphylococcus aureus strain.","ABC-F ATP-binding cassette ribosomal protection protein","lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic",Multidrug,"antibiotic target protection",265188,2292
ARO:3004476,vmlR,"vmlR is an ABC-F ATPase ribosomal protection protein identified in Bacillus subtilus. Shown to confer resistance to lincomycin and streptogramin A virginiamycin. Described by Crowe-McAuliffe et al. 2018.","ABC-F ATP-binding cassette ribosomal protection protein","lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic",Multidrug,"antibiotic target protection",401926,3661
ARO:3004480,"Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","Bifidobacterium are antibiotic resistant probiotics are prescribed to upkeep the population beneficial bacteria in the gut microbiome. However, horizontal gene transfer among gut microbes could create harmful antibiotic-resistant pathogenic bacteria, such as Mycobacterium tuberculosis. Lokesh et al. analyzed Bifidobacterium antitubercular drug resistance and mutations in rpoB. They found that B. animalis, B. longum and B. adolescentis showed considerable resistance to pyrazinamide, isoniazid, and streptomycin, while B. adolescentis had mutations both in the rifampicin (RIF) pocket and in regions outside the pockets, and also showed considerable resistance to RIF.","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","peptide antibiotic;rifamycin antibiotic",Multidrug,"antibiotic target alteration;antibiotic target replacement",1556196,8764
ARO:3004493,ADC-68,"A class C carbapenemase and extended-spectrum beta-lactamase identified from Acinetobacter baumannii","ADC beta-lactamase with carbapenemase activity",carbapenem,Beta-lactam,"antibiotic inactivation",842,2
ARO:3004500,MCR-3.11,"An MCR-3 phosphoethanolamine transferase and polymyxin resistance gene variant differing by 2 amino acid substitutions, identified from an Escherichia coli isolate.","MCR phosphoethanolamine transferase","peptide antibiotic",Peptide,"antibiotic target alteration",738,5
ARO:3004501,MCR-6.1,"An MCR-2 phosphoethanolamine transferase and polymyxin resistance gene variant identified in Moraxella isolated from pigs in the United Kingdom.","MCR phosphoethanolamine transferase","peptide antibiotic",Peptide,"antibiotic target alteration",506,6
ARO:3004502,MCR-2.2,"An MCR-2 phosphoethanolamine transferase and polymyxin resistance gene variant identified in Moraxella isolated from pigs in Great Britain","MCR phosphoethanolamine transferase","peptide antibiotic",Peptide,"antibiotic target alteration",612,5
ARO:3004503,MCR-3.6,"An MCR-3 phosphoethanolamine transferase and polymyxin resistance gene variant identified in Aeromonas.","MCR phosphoethanolamine transferase","peptide antibiotic",Peptide,"antibiotic target alteration",624,4
ARO:3004505,MCR-3.5,"An MCR-3 phosphoethanolamine transferase and polymyxin (colistin) resistance gene variant identified from an extensively-resistant Escherichia coli clinical isolate.","MCR phosphoethanolamine transferase","peptide antibiotic",Peptide,"antibiotic target alteration",1018,6
ARO:3004506,MCR-1.10,"An MCR-1 phosphoethanolamine transferase and polymyxin (colistin) resistance gene variant identified from an Escherichia porcine isolate in Great Britain.","MCR phosphoethanolamine transferase","peptide antibiotic",Peptide,"antibiotic target alteration",140,4
ARO:3004507,MCR-1.9,"An MCR-1 phosphoethanolamine transferase and polymyxin resistance gene variant identified from an enterotoxigenic Escherichia coli clinical isolate.","MCR phosphoethanolamine transferase","peptide antibiotic",Peptide,"antibiotic target alteration",424,1
ARO:3004508,MCR-3.9,"An MCR-3 polymyxin (incl. colistin) resistance gene variant isolated from an Aeromonas isolate","MCR phosphoethanolamine transferase","peptide antibiotic",Peptide,"antibiotic target alteration",8,1
ARO:3004509,MCR-3.8,"An MCR-3 polymyxin (incl. colistin) resistance gene variant identified from an Aeromonas isolate","MCR phosphoethanolamine transferase","peptide antibiotic",Peptide,"antibiotic target alteration",944,3
ARO:3004510,MCR-3.7,"An MCR polymyxin (colistin) resistance gene variant identified in Aeromonas","MCR phosphoethanolamine transferase","peptide antibiotic",Peptide,"antibiotic target alteration",1266,7
ARO:3004511,MCR-3.2,"An MCR-3 polymyxin resistance gene variant identified in a colistin-resistant Salmonella isolate from Canada, located on an IncHI-2 plasmid","MCR phosphoethanolamine transferase","peptide antibiotic",Peptide,"antibiotic target alteration",758,5
ARO:3004514,MCR-1.3,"An MCR-1 polymyxin resistance gene variant identified from a poultry Raoultella planticola isolate","MCR phosphoethanolamine transferase","peptide antibiotic",Peptide,"antibiotic target alteration",28,1
ARO:3004515,MCR-1.4,"An MCR-1 polymyxin resistance gene variant identified from a colistin-resistant Escherichia coli isolate.","MCR phosphoethanolamine transferase","peptide antibiotic",Peptide,"antibiotic target alteration",128,1
ARO:3004516,MCR-8.1,"A novel phosphoethanolamine transferase and mobile colistin resistance gene identified from carbapenem-resistant NDM-1-producing Klebsiella pneumoniae.","MCR phosphoethanolamine transferase","peptide antibiotic",Peptide,"antibiotic target alteration",40244,196
ARO:3004517,MCR-7.1,"A novel plasmid-mediated colistin-resistant phosphoethanolamine transferase identified from a poultry isolate of Klebsiella pneumoniae","MCR phosphoethanolamine transferase","peptide antibiotic",Peptide,"antibiotic target alteration",3470,28
ARO:3004539,mphH,"A chromosomal macrolide 2'-phosphotransferase and resistance gene identified from a Brachybacterium faecium cave isolate","macrolide phosphotransferase (MPH)","macrolide antibiotic",MLS,"antibiotic inactivation",1930,47
ARO:3004541,mphK,"A chromosomal macrolide phosphotransferase identified from Bacillus subtilis","macrolide phosphotransferase (MPH)","macrolide antibiotic",MLS,"antibiotic inactivation",92,6
ARO:3004543,mphO,"A chromosomal macrolide phosphostransferase identified in Brachybacterium paraconglomeratum","macrolide phosphotransferase (MPH)","macrolide antibiotic",MLS,"antibiotic inactivation",1280,22
ARO:3004544,mphJ,"A chromosomal macrolide phosphotransferase identified in Brevibacillus brevis VM4.","macrolide phosphotransferase (MPH)","macrolide antibiotic",MLS,"antibiotic inactivation",146,3
ARO:3004548,dfrA9,"A dihydrofolate reductase and trimethoprim resistance gene identified from porcine isolates of Esherichia coli","trimethoprim resistant dihydrofolate reductase dfr","diaminopyrimidine antibiotic",Diaminopyrimidine,"antibiotic target replacement",3550,54
ARO:3004550,dfrA27,"A dihydrofolate reductase and trimethoprim resistance gene from non-O1, non-O139 Vibrio cholerae","trimethoprim resistant dihydrofolate reductase dfr","diaminopyrimidine antibiotic",Diaminopyrimidine,"antibiotic target replacement",32,2
ARO:3004555,dfrA32,"A dihydrofolate reductase and trimethoprim resistance gene identified from non-typhoidal multidrug-resistant Salmonella enterica","trimethoprim resistant dihydrofolate reductase dfr","diaminopyrimidine antibiotic",Diaminopyrimidine,"antibiotic target replacement",40,1
ARO:3004559,CAM-1,"CAM-1 is a CAM (Central Alberta Metallo) beta-lactamase and carbapenemase identified from 4 clinical isolates of Pseudomonas aeruginosa from a Canadian hospital","CAM beta-lactamase",carbapenem;cephalosporin;cephamycin;penam,Beta-lactam,"antibiotic inactivation",4,1
ARO:3004568,dfrA18,"A trimethoprim-resistant dihydrofolate reductase identified from Vibrio cholerae","trimethoprim resistant dihydrofolate reductase dfr","diaminopyrimidine antibiotic",Diaminopyrimidine,"antibiotic target replacement",7864,64
ARO:3004569,ICR-Mo,"A chromosomally-encoded colistin resistance phosphoethanolamine (PEtN) transferase of Moraxella osloensis. ICR-Mo represents the closest known ortholog to the colistin resistance MCR-1 and MCR-2 PEtN transferases","intrinsic colistin resistant phosphoethanolamine transferase","peptide antibiotic",Peptide,"antibiotic target alteration",1788,33
ARO:3004571,PNGM-1,"PNGM-1 is a subclass B3 metallo-beta-lactamase first identified from a deep-sea sediment meta-genome. PNGM-1 is shown to reduce susceptibility to extended- and broad-spectrum cephalosporins, carbapenems, and penicillins. PNGM-1 is a novel metallo-beta-lactamase which predates the current antibiotic era.","PNGM beta-lactamase",carbapenem;cephalosporin;penam,Beta-lactam,"antibiotic inactivation",200,1
ARO:3004572,"Staphylococcus aureus LmrS","MFS transporters are secondary active transporters with single-polypeptide chains containing 400-600 amino acids that transport small solutes across the membrane by using electrochemical gradients. LmrS has 14 transmembrane helices and, when expressed in E. coli, is capable of extruding a variety of antibiotics inclinding linezolid, trimethoprim, florfenicol, chlorampheniocol, erythromycin, streptomycin, kanamycin, and fusidic acid","major facilitator superfamily (MFS) antibiotic efflux pump","aminoglycoside antibiotic;diaminopyrimidine antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic",Multidrug,"antibiotic efflux",60062,324
ARO:3004573,"Acinetobacter baumannii AbaF","Expression of abaF in E. coli resulted in increased resistance to fosfomycin.","major facilitator superfamily (MFS) antibiotic efflux pump",fosfomycin,Fosfomycin,"antibiotic efflux",53478,905
ARO:3004574,"Acinetobacter baumannii AbaQ","AbaQ is an MFS transporter mainly involved in the extrusion of quinolone-type drugs in A. baumannii","major facilitator superfamily (MFS) antibiotic efflux pump","fluoroquinolone antibiotic",Fluoroquinolone,"antibiotic efflux",6364,165
ARO:3004577,"Acinetobacter baumannii AmvA","AmvA has 14 alpha-helical transmembrane segments, qualifying it as a member of the DHA2 transporter family of the major facilitator superfamily (MFS). When AmvA was expressed in E. coli,  the cells had at least four-fold decreased susceptibility to erythromycin, acridine orange, acriflavine, deoxycholate and methyl viologen. AmvA from the AC0037 strain of A. baumannii was tested.","major facilitator superfamily (MFS) antibiotic efflux pump","acridine dye;macrolide antibiotic",Multidrug,"antibiotic efflux",5534,108
ARO:3004580,"Klebsiella pneumoniae KpnE","KpnE subunit of KpnEF resembles EbrAB from E. coli. Mutation in KpnEF resulted in increased susceptibility to cefepime, ceftriaxon, colistin, erythromycin, rifampin, tetracycline, and streptomycin as well as enhanced sensitivity toward sodium dodecyl sulfate, deoxycholate, dyes, benzalkonium chloride, chlorhexidine, and triclosan","major facilitator superfamily (MFS) antibiotic efflux pump","aminoglycoside antibiotic;cephalosporin;macrolide antibiotic;peptide antibiotic;rifamycin antibiotic;tetracycline antibiotic",Multidrug,"antibiotic efflux",1452,34
ARO:3004581,tet(48),"A tetracycline inactivating enzyme. A flavoenzyme capable of degrading tetracycline antibiotics.","tetracycline inactivation enzyme","tetracycline antibiotic",Tetracycline,"antibiotic inactivation",524,11
ARO:3004582,tet(49),"A tetracycline inactivating enzyme. A flavoenzyme capable of degrading tetracycline antibiotics.","tetracycline inactivation enzyme","tetracycline antibiotic",Tetracycline,"antibiotic inactivation",104,7
ARO:3004583,"Klebsiella pneumoniae KpnF","KpnF subunit of KpnEF resembles EbrAB from E. coli. Mutation in KpnEF resulted in increased susceptibility to cefepime, ceftriaxon, colistin, erythromycin, rifampin, tetracycline, and streptomycin as well as enhanced sensitivity toward sodium dodecyl sulfate, deoxycholate, dyes, benzalkonium chloride, chlorhexidine, and triclosan.","major facilitator superfamily (MFS) antibiotic efflux pump","aminoglycoside antibiotic;cephalosporin;macrolide antibiotic;peptide antibiotic;rifamycin antibiotic;tetracycline antibiotic",Multidrug,"antibiotic efflux",206,6
ARO:3004584,tet(50),"A tetracycline inactivating enzyme. A flavoenzyme capable of degrading tetracycline antibiotics.","tetracycline inactivation enzyme","tetracycline antibiotic",Tetracycline,"antibiotic inactivation",122,16
ARO:3004586,tet(51),"A tetracycline inactivating enzyme. A flavoenzyme capable of degrading tetracycline antibiotics.","tetracycline inactivation enzyme","tetracycline antibiotic",Tetracycline,"antibiotic inactivation",160,9
ARO:3004587,tet(52),"A tetracycline inactivating enzyme. A flavoenzyme capable of degrading tetracycline antibiotics.","tetracycline inactivation enzyme","tetracycline antibiotic",Tetracycline,"antibiotic inactivation",972,26
ARO:3004588,"Klebsiella pneumoniae KpnG","KpnG consists of ~390 residues and resembles EmrA of E. coli. Disruption of the pump components KpnG-KpnH signficantly decrease resistance to azithromycin, ceftazidime, ciprofloxacin, ertapenem, erythromycin, gentamicin, imipenem, ticarcillin, norfloxacin, polymyxin-B, piperacillin, spectinomycin, tobramycin, and streptomycin","major facilitator superfamily (MFS) antibiotic efflux pump","aminoglycoside antibiotic;carbapenem;cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic;penam;penem;peptide antibiotic",Multidrug,"antibiotic efflux",1684,36
ARO:3004590,tet(54),"A tetracycline inactivating enzyme. A flavoenzyme capable of degrading tetracycline antibiotics.","tetracycline inactivation enzyme","tetracycline antibiotic",Tetracycline,"antibiotic inactivation",450,14
ARO:3004591,tet(55),"A tetracycline inactivating enzyme. A flavoenzyme capable of degrading tetracycline antibiotics.","tetracycline inactivation enzyme","tetracycline antibiotic",Tetracycline,"antibiotic inactivation",416,20
ARO:3004592,erm(32),"erm(32) is a rRNA methyltransferase. Encodes methyltransferases that modify 23S rRNA.","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",31868,242
ARO:3004595,erm(45),"Erm45 is an rRNA methylase that confers resistances to macrolide, lincosamide, and streptogramin B.","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",2600,44
ARO:3004596,erm(46),"erm(46) is transferable determinant that confers resistance to macrolides.","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",1510,19
ARO:3004597,"Klebsiella pneumoniae KpnH","KpnH consists of ~511 residues, resembles EmrB of E. coli, and is probably a translocase in the KpnGH-TolC efflux protein in K. pneumoniae. Disruption of the pump components KpnG-KpnH signficantly decrease resistance to azithromycin, ceftazidime, ciprofloxacin, ertapenem, erythromycin, gentamicin, imipenem, ticarcillin, norfloxacin, polymyxin-B, piperacillin, spectinomycin, tobramycin, and streptomycin.","major facilitator superfamily (MFS) antibiotic efflux pump","aminoglycoside antibiotic;carbapenem;cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic;penam;penem;peptide antibiotic",Multidrug,"antibiotic efflux",712,13
ARO:3004599,clcD,"clcD gene can provide resistance to representatives of five of the six antibiotic groups previously shown to be affected by Cfr.  clcD was originally found in Clostridioides difficile and is cfr-like.","Cfr 23S ribosomal RNA methyltransferase","lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic",Multidrug,"antibiotic target alteration",3682,47
ARO:3004601,LnuP,"LnuP is a lincosamide nucleotidyltransferase major efflux facilitator","lincosamide nucleotidyltransferase (LNU)","lincosamide antibiotic",MLS,"antibiotic inactivation",10822,9
ARO:3004603,tet(56),"A tetracycline inactivating enzyme. A flavoenzyme capable of degrading tetracycline antibiotics.","tetracycline inactivation enzyme","tetracycline antibiotic",Tetracycline,"antibiotic inactivation",168,11
ARO:3004606,erm(40),"erm(40) is an adenine RNA methylase and confers intrinsic resistance in Mycobacteria.","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",2126,17
ARO:3004608,EreD,"erythromycin esterase protein","macrolide esterase","macrolide antibiotic",MLS,"antibiotic inactivation",90,3
ARO:3004611,"Escherichia coli ampC1 beta-lactamase","An ampC-like beta-lactamase identified from Escherichia coli.","ampC-type beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",166324,813
ARO:3004612,"Escherichia coli ampH beta-lactamase","AmpH is a class C ampC-like beta-lactamase and penicillin-binding protein identified in Escherichia coli.","ampC-type beta-lactamase",cephalosporin;penam,Beta-lactam,"antibiotic inactivation",129708,580
ARO:3004613,Tet(47),"A tetracycline inactivating enzyme. A flavoenzyme capable of degrading tetracycline antibiotics.","tetracycline inactivation enzyme","tetracycline antibiotic",Tetracycline,"antibiotic inactivation",704,15
ARO:3004615,ADC-11,"ADC-11 is a class C beta-lactamase found in Acinetobacter baumannii","ADC beta-lactamase without carbapenemase activity",cephalosporin,Beta-lactam,"antibiotic inactivation",1884,12
ARO:3004618,ADC-58,"An ADC beta-lactamase and cephalosporinase from Acinetobacter baumannii","ADC beta-lactamase without carbapenemase activity",cephalosporin,Beta-lactam,"antibiotic inactivation",1702,1
ARO:3004621,AAC(3)-IIe,"AAC(3)-IIe is a plasmid-encoded aminoglycoside acetyltransferase in E. coli",AAC(3),"aminoglycoside antibiotic",Aminoglycoside,"antibiotic inactivation",1286,19
ARO:3004623,AAC(3)-IId,"AAC(3)-IId is a plasmid-encoded aminoglycoside acetyltransferase in E. coli",AAC(3),"aminoglycoside antibiotic",Aminoglycoside,"antibiotic inactivation",3044,29
ARO:3004624,QnrS11,"QnrS11 is a plasmid-mediated quinolone resistance protein.","quinolone resistance protein (qnr)","fluoroquinolone antibiotic",Fluoroquinolone,"antibiotic target protection",556,5
ARO:3004625,QnrS12,"QnrS12 is a plasmid-mediated quinolone resistance protein.","quinolone resistance protein (qnr)","fluoroquinolone antibiotic",Fluoroquinolone,"antibiotic target protection",146,1
ARO:3004626,Erm(49),"Erm(49) is an rRNA methylase gene","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",72114,526
ARO:3004627,QnrS15,"QnrS15 is a plasmid-mediated quinolone resistance protein.","quinolone resistance protein (qnr)","fluoroquinolone antibiotic",Fluoroquinolone,"antibiotic target protection",16,1
ARO:3004628,AAC(2')-IIa,"AAC(2')-IIa is a kasugamycin 2' N-acetyltransferase protein found in Burkholderia glumae and Acidovorax avenae isolates",AAC(2'),"aminoglycoside antibiotic",Aminoglycoside,"antibiotic inactivation",34,3
ARO:3004629,AAC(6')-Im,"AAC(6')-Im is an aminoglycoside acetyltransferase encoded by plasmids in E. coli, and E. faecium",AAC(6'),"aminoglycoside antibiotic",Aminoglycoside,"antibiotic inactivation",52414,94
ARO:3004635,AAC(6')-Il,"AAC(6')-Il is an aminoglycoside acetyltransferase encoded by plasmids and integrons in Enterobacter cloaecae and Klebsiella aerogenes",AAC(6'),"aminoglycoside antibiotic",Aminoglycoside,"antibiotic inactivation",226,4
ARO:3004636,qnrE1,"qnrE1 is a member of the qnrE family of plasmid-borne (fluoro)quinolone-resistance genes, with chromosomal origins from Enterobacter spp.","quinolone resistance protein (qnr)","fluoroquinolone antibiotic",Fluoroquinolone,"antibiotic target protection",4,1
ARO:3004637,qnrE2,"qnrE2 is a qnrE-member of plasmid-borne (fluoro)quinolone-resistance genes.","quinolone resistance protein (qnr)","fluoroquinolone antibiotic",Fluoroquinolone,"antibiotic target protection",80,3
ARO:3004638,AAC(6')-Iag,"AAC(6')-Iag is an aminoglycoside acetyltransferase encoded by integrons in Pseudomonas aeruginosa",AAC(6'),"aminoglycoside antibiotic",Aminoglycoside,"antibiotic inactivation",102,9
ARO:3004639,"Corynebacterium striatum tetA","tetAB genes of the Corynebacterium striatum R-plasmid which encode an ABC transporter and confer tetracycline, oxytetracycline, and oxalic resistance","major facilitator superfamily (MFS) antibiotic efflux pump","penam;tetracycline antibiotic",Multidrug,"antibiotic efflux",776268,8273
ARO:3004641,aacA43,"aacA43 is an aminoglycoside acetyltransferase encoded by integrons found in Klebsiella pneumoniae, Escherichia coli, and Enterobacter cloaecae",AAC(6'),"aminoglycoside antibiotic",Aminoglycoside,"antibiotic inactivation",82,3
ARO:3004642,dfrA3b,"A dihydrofolate reductase that confers resistance to trimethoprim","trimethoprim resistant dihydrofolate reductase dfr","diaminopyrimidine antibiotic",Diaminopyrimidine,"antibiotic target replacement",136,3
ARO:3004643,Erm(K),"23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(K) [Bacillus halodurans]","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",207620,908
ARO:3004644,"dfrA6 from Proteus mirabilis","dfrA6 is a dihydrofolate reductase that confers resistance to trimethoprim.","trimethoprim resistant dihydrofolate reductase dfr","diaminopyrimidine antibiotic",Diaminopyrimidine,"antibiotic target replacement",28,3
ARO:3004645,dfrI,"dfrI is a dihydrofolate reductase that is resistant to trimethoprim.","trimethoprim resistant dihydrofolate reductase dfr","diaminopyrimidine antibiotic",Diaminopyrimidine,"antibiotic target replacement",51928,371
ARO:3004647,AQU-2,"AQU-2 is a chromosomally-encoded AQU class C beta-lactamase and cephalosporinase from Aeromonas","AQU beta-lactamase",cephalosporin,Beta-lactam,"antibiotic inactivation",1500,9
ARO:3004648,AQU-3,"AQU-3 is a chromosomally-encoded AQU class C beta-lactamase and cephalosporinase from","AQU beta-lactamase",cephalosporin,Beta-lactam,"antibiotic inactivation",1524,21
ARO:3004649,cfr(B),"cfr(B) has been observed in mobile genetic elements in E. faecium and Clostridioides difficile and confers resistance to linezolid, clindamycin, erythromycin, chloramphenicol, and retapamulin.","Cfr 23S ribosomal RNA methyltransferase","lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic",Multidrug,"antibiotic target alteration",223840,1263
ARO:3004650,tetU,"Tetracycline-resistant determinant encoded on the plasmid pKQ10 in Enterococcus faecium","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic",Tetracycline,"antibiotic efflux",794,9
ARO:3004651,lin,"Listeria monocytogenes EGD-e lin gene for lincomycin resistance ABC-F type ribosomal protection protein, complete CDS.","lincosamide nucleotidyltransferase (LNU)","lincosamide antibiotic",MLS,"antibiotic inactivation",81086,651
ARO:3004652,Erm(O)-lrm,"ErmO (gene lrm) lincomycin resistance methylase [Streptomyces lividans].","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic",MLS,"antibiotic target alteration",586,13
ARO:3004656,"catII from Escherichia coli K-12","catII is a chloramphenicol acetyltransferase. This particular catII is found in E.coli K-12. Confers resistance to chloramphenicol.","chloramphenicol acetyltransferase (CAT)","phenicol antibiotic",Phenicol,"antibiotic inactivation",12018,47
ARO:3004657,catA4,"catA4 is a chloramphenicol acetyltransferase that confers resistance to chloramphenicol.","chloramphenicol acetyltransferase (CAT)","phenicol antibiotic",Phenicol,"antibiotic inactivation",6804,27
ARO:3004658,catA8,"catA8 is a chloramphenicol acetyltransferase that confers resistance to chloramphenicol.","chloramphenicol acetyltransferase (CAT)","phenicol antibiotic",Phenicol,"antibiotic inactivation",304,6
ARO:3004659,Mef(En2),"NBU2-encoded resistance gene. An MefE homolog in Bacteroides species. Macrolide efflux MFS transporter","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic",MLS,"antibiotic efflux",3520,8
ARO:3004660,catB11,"catB11 is a chloramphenicol acetyltransferase that confers resistance to chloramphenicol.","chloramphenicol acetyltransferase (CAT)","phenicol antibiotic",Phenicol,"antibiotic inactivation",10330,92
ARO:3004661,"Staphylococcus aureus FosB","The Bacillus subtilis fosB gene encodes a fosfomycin resistance protein","fosfomycin thiol transferase",fosfomycin,Fosfomycin,"antibiotic inactivation",22,4
ARO:3004662,MCR-3.3,"MCR-3.3 is a colistin resistance gene variant in the chromosome of an Aeromonas veronii. Conferred polymyxin resistance in both E. Coli and Aeromonas salmonicida","MCR phosphoethanolamine transferase","peptide antibiotic",Peptide,"antibiotic target alteration",336,6
ARO:3004663,FusF,"A fusidic acid resistance determinant in Staphylococcus cohnii. FusD-like","fusidic acid inactivation enzyme","fusidic acid","Fusidic acid","antibiotic inactivation",94,9
ARO:3004665,cmlA8,"cmlA8 is a plasmid that confers resistance to chloramphenicol.","major facilitator superfamily (MFS) antibiotic efflux pump","phenicol antibiotic",Phenicol,"antibiotic efflux",2728,20
ARO:3004666,pexA,"pexA is a florfenicol and chloramphenicol resistance gene discovered in Alaskan soil.","major facilitator superfamily (MFS) antibiotic efflux pump","phenicol antibiotic",Phenicol,"antibiotic efflux",258,1
